,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
411,1173101592200957952,DevonESawa,2019-09-15 05:09:49,173834,1072,"['undeniably', 'still', 'one', 'exciting', 'fighters', 'sport', 'id', 'watch', 'fight', 'fight', 'day', 'week']","['undeni', 'still', 'one', 'excit', 'fighter', 'sport', 'id', 'watch', 'fight', 'fight', 'day', 'week']","['undeniably', 'still', 'one', 'exciting', 'fighter', 'sport', 'id', 'watch', 'fight', 'fight', 'day', 'week']"
413,1172859854752493568,leannaaross,2019-09-14 13:09:14,1410,526,"['guys', 'asked', 'pictures', 'name', 'loves', 'driving', 'started', 'age', 'went', 'first', 'trip', 'represent', 'time', 'sport', 'popular', 'hes', 'passionate', 'good', 'yeah', 'know', 'hes', 'pretty', 'cool']","['guy', 'ask', 'pictur', 'name', 'love', 'drive', 'start', 'age', 'went', 'first', 'trip', 'repres', 'time', 'sport', 'popular', 'he', 'passion', 'good', 'yeah', 'know', 'he', 'pretti', 'cool']","['guy', 'asked', 'picture', 'name', 'love', 'driving', 'started', 'age', 'went', 'first', 'trip', 'represent', 'time', 'sport', 'popular', 'he', 'passionate', 'good', 'yeah', 'know', 'he', 'pretty', 'cool']"
415,1173123880531222528,CityofKigali,2019-09-15 06:38:23,112946,570,"['city', 'residents', 'participating', 'bi', 'monthly', 'mass', 'sport', 'fitness', 'exercise']","['citi', 'resid', 'particip', 'bi', 'monthli', 'mass', 'sport', 'fit', 'exercis']","['city', 'resident', 'participating', 'bi', 'monthly', 'mass', 'sport', 'fitness', 'exercise']"
416,1173172958757621760,AnfieldWatch,2019-09-15 09:53:24,309123,1018,"['full', 'quotes']","['full', 'quot']","['full', 'quote']"
418,1172868904206700544,DJSemo,2019-09-14 13:45:12,7514,5101,"['boy', 'range', 'sport', 'stolen', 'drive', 'way', 'earlier', 'year', 'found', 'cold', 'world', 'put', 'tracker', 'whip']","['boy', 'rang', 'sport', 'stolen', 'drive', 'way', 'earlier', 'year', 'found', 'cold', 'world', 'put', 'tracker', 'whip']","['boy', 'range', 'sport', 'stolen', 'drive', 'way', 'earlier', 'year', 'found', 'cold', 'world', 'put', 'tracker', 'whip']"
419,1173310831095885824,Ali A . Ali,2019-09-15 19:01:15,174,1623,"['hot', 'sport', 'car']","['hot', 'sport', 'car']","['hot', 'sport', 'car']"
420,1173310829770547200,Andrew,2019-09-15 19:01:15,3297,754,"['sport', 'bullshit', 'ace']","['sport', 'bullshit', 'ace']","['sport', 'bullshit', 'ace']"
422,1173310552602492928,MailSport,2019-09-15 19:00:09,381660,905,"['league', 'footballer', 'done', 'slams', 'claims', 'chemistry', 'missing', 'john', 'stones', 'city', 'lost']","['leagu', 'footbal', 'done', 'slam', 'claim', 'chemistri', 'miss', 'john', 'stone', 'citi', 'lost']","['league', 'footballer', 'done', 'slam', 'claim', 'chemistry', 'missing', 'john', 'stone', 'city', 'lost']"
423,1173310817166614535,Cybrina,2019-09-15 19:01:12,730,83,"['drives', 'civic', 'sport']","['drive', 'civic', 'sport']","['drive', 'civic', 'sport']"
424,1173310808115298304,Cerebral Palsy Sport,2019-09-15 19:01:10,8296,2086,"['taking', 'part', 'part', 'training', 'camp', 'th', 'bringing', 'worldwide', 'community', 'together', 'wave', 'activity']","['take', 'part', 'part', 'train', 'camp', 'th', 'bring', 'worldwid', 'commun', 'togeth', 'wave', 'activ']","['taking', 'part', 'part', 'training', 'camp', 'th', 'bringing', 'worldwide', 'community', 'together', 'wave', 'activity']"
